name,milk,crust,origin,pairings,similarities,visual,smell,taste,touch
Tomme de Montagne,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme de Yenne s’accompagne d’un vin rouge tel qu’un Chautagne rouge de Savoie ou un Jacquère blanc.,"['Tomme Ail des Ours', 'Bethmale', 'Tomme de Tarentaise fermière', 'Reblochon Fermier AOP entier']","Croûte grise ou orangée, selon l’affinage", Parfumé," fruité, doux et délicat.", Moelleux.
Tomme de Montagne Dent du Chat,Vache,Pressée non cuite,Suisse ,La Tomme de Montagne du Jura Suisse se consomme sans pain et se marie très bien avec un verre de Aargau AOC Blanc de Noir Wettinger ou un Gaillac blanc.,"['Neufchâtel AOP', 'Parmesan DOP', 'Bleu d’Auvergne Fermier AOP', 'Beaufort chalet alpage AOP']", Jaune or, Beurré," Riche en arôme, franc et épicé", Ferme
Tomme de Montagne du Jura Suisse,Vache,Pressée cuite,Bretagne ,La Tome de Rhuys de la Ferme de Suscinio s’accompagne d’un vin blanc tel qu’un Jurançon sec.,"['Mimolette', 'Cheddar Extra-Mature', 'Tomme d’Auvergne Mitée', 'Raclette de Savoie artisanale IGP']", Croûte marron et légèrement céronnée, odeur de paille, arôme beurré et amertume, Texture moelleuse
Tomme de Rhuys,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme de Savoie s’accompagne d’un vin rouge local type Mondeuse.,"['Raclette de Savoie artisanale IGP', 'Reblochon Fermier AOP entier', 'Cantal AOP Entre-Deux fermier', 'St-Nectaire Fermier AOP']", Croûte rustique, parfumée, Ferme et tendre, Pâte tendre
Tomme de Savoie,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme de Tarentaise s’accorde à merveille avec un Bordeaux Rouge. Il accompagne volontiers les repas en famille ou en amoureux.,"['Tomme Ail des Ours', 'Tome des Bauges AOP', 'Tomme de Yenne', 'Tomme d’Auvergne Mitée']", Rustique., Développe des arômes complexes de lait et d’herbages., Gouteux. , Pâte pressée non cuite.
Tomme de Tarentaise fermière,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme de Tauves est habituellement utilisée dans la préparation des plats typiques de la région comme la truffade, l’aligot ou le feuilleté aux champignons. Néanmoins, cette Tomme peut aussi s’apprécier en tant que fromage de plateau ou de table. Lors de vos repas, vous pouvez l’accompagner d’une baguette croustillante et la déguster avec un verre de vin blanc sec issu de la région.","['Morbier AOP 100jours', 'Tomme du Jura', 'Tomme de Yenne', 'Bethmale', 'Raclette de Savoie artisanale IGP']", Une croûte naturelle fine.,, Une pâte onctueuse légèrement acidulée à l’intérieur., Pâte pressée non cuite.
Tomme de Tauves,Vache,Pressée non cuite,Pays de la Loire ,Cette tomme se marie très bien avec un vin blanc tel qu’un Muscadet Sèvre et Maine sur Lie.,"['Mimolette', 'Raclette de Savoie artisanale IGP', 'Tomme de Tarentaise fermière', 'Tomme d’Auvergne Mitée']",Pâte jaune et croûte orange, Saveur fine en bouche et très agréable au palais," Frotter au Muscadet donne à la tomme un goût fruité, agréable et très légèrement “alcoolisé”", Texture onctueuse
Tomme de vache au Muscadet,Vache,Pressée non cuite,Nouvelle Aquitaine ,"Cette tomme se marie parfaitement avec un vin rouge fruité, tel qu’un Fronton de la Haute-Garonne.","['Tomme de Brebis des Pyrénées', 'Tomme de Tarentaise fermière', 'Tomme de Yenne', 'Tomme du Jura']", Couleur pâte jaune, Léger et senteur de crème, Soutenue et beurré, Texture onctueuse
Tomme de vache du Béarn,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme de Yenne se marie parfaitement avec la plupart des vins. Toutefois, pour apprécier pleinement son goût, il est conseillé de l’accompagner avec un vin rouge de la même région, à l’image du vin de Savoie Chautagne ou d’une Mondeuse Avalanche., Pour une association différente, vous pouvez également associer ce fromage avec un vin blanc sec comme le Chignin.","['Tomme d’Auvergne Mitée', 'Tomme de Tarentaise fermière', 'Tome des Bauges AOP', 'Tomme du Jura']", Croûte grise.,, Moelleux et parfumé. Pâte ferme et douce en bouche.,
Tomme de Yenne,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme des allobroges s’accompagne d’un Vin Blanc frais et léger, tel qu’un Jacquère, vin typique de Savoie.,  ","['Raclette Fumée', 'Salers AOP', 'Mimolette', 'Tomme du Jura']", Une croûte de couleur grise, Forte odeur de cave, Un goût fruité avec une pointe de noisette, Souple
Tomme des Allobroges,Vache,Pressée non cuite,Pays de la Loire ,"La Tomme des Chouans se marie à merveille avec du vin rouge sec comme un Côtes d’Auxerre rouge AOP, un Côtes d’Auvergne Madargues ou encore un Valençay rouge.","['Tomme de Tarentaise fermière', 'Tomme Ail des Ours', 'Tome des Bauges AOP', 'Tomme d’Auvergne Mitée']"," croûte marron-orangée, selon l’affinage",, Arômes légers et lactiques,
Tomme des Chouans,Vache,Pressée non cuite,Centre-Val de Loire,La Tomme du Berry demi-vieille s’accompagne d’un côtes de Provence rouge ou blanc.,"['Gouda au Cumin Fermier', 'Camembert de Normandie AOP', 'Saint-Félicien fermier', 'Tomme Ail des Ours']", Pâte ferme et claire, boisé, salé et puissant, cassante et affinée
Tomme du Berry demi-vieille,Vache,Pressée non cuite,Bourgogne - Franche-Comté,"La Tomme du Jura se déguste avec un vin blanc sec, tel qu’un Jurançon ou un Côtes du Jura.","['Gouda Fermier Vieux 12-18 Mois', 'Raclette Fumée', 'St-Nectaire Fermier AOP', 'Saint-Félicien fermier']"," Croûte morgée, pâte jaune clair", Grande sensation de fraicheur, Nuances lactiques et de fruits, Pâte ferme et onctueuse
Tomme du Jura,Vache,Pressée non cuite,Bourgogne - Franche-Comté,"La Tomme du Jura Rième se déguste avec un vin blanc sec, tel qu’un Côtes du Jura.","['Tomme Ail des Ours', 'Raclette Fumée', 'Tomme de Yenne', 'Tomme de Tarentaise fermière']"," Croûte morgée, pâte jaune clair", Doux, sensation de fraicheur, crémeux
Tomme du Jura Rième,Vache,Pressée non cuite,Bourgogne - Franche-Comté,"La Tomme du Mont-Jura s’accompagne d’un vin blanc sec, tel qu’un Chardonnay, un Sauvignon ou un Côtes du Jura.","['Brie de Meaux fermier AOP', 'Tome des Bauges AOP', 'Parmesan DOP', 'Camembert de Normandie AOP']"," Croûte marron-grise, pâte couleur crème", Doux, Parfumé et doux en bouche. , souple à froid et plus onctueux à chaud.
Tomme du Mont Jura,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme Fermière de la fromagerie Schmidhauser s’accompagne d’un vin blanc tel qu’un Chignin de Savoie.,"['St-Nectaire Fermier AOP', 'Salers AOP', 'Reblochon Fermier AOP entier', 'Tomme fermière au Foin']", Croûte orangé, Forte odeur de vache sur un goût fruité, fondante en bouche, Texture moelleuse et onctueuse
Tomme fermière,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme ancestrale s’accompagne d’un Vin Blanc, tel qu’une Roussette du Bugey blanc. ","['Saint-Félicien fermier', 'Cantal AOP Entre-Deux fermier', 'Tomme de Tarentaise fermière', 'Tomme de Yenne']", Croûte de couleur grise-marron, légère odeur de cave, Un goût fruité et légèrement salé, Texture moelleuse
Tomme fermière ancestrale,Vache,Pressée non cuite,Grand Est ,La Tomme fermière aux fleurs de printemps s’accompagne d’un Vin blanc fruité de Savoie.,"['Tomme fermière au Foin', 'Raclette Fumée', 'Morbier AOP 100jours', 'Tête de Moine entière']"," Croûte jaune paille à orangée, lisse, brillante. Pâte homogène, de couleur ivoire.", très parfumé, Gout généreux et typé avec des saveurs florales et légèrement épicées, Pâte tendre et ferme à la fois
Tomme fermière aux fleurs,Vache,Pressée non cuite,Grand Est ,Cette tomme se marie très bien avec un vin rouge.,"['Tomme du Jura', 'Tête de Moine entière', 'Bethmale', 'Saint Marcellin fermier IGP']", pâte brune contenant des orties, Odeur de foin fraîchement coupé, Doux avec un goût de noisette légèrement salé, Texture onctueuse
Tomme fermière aux orties,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tomme Fermière d’Alpage s’accompagne d’un vin blanc de Savoie, type Aprement ou Chignin.","['Gouda Fermier Vieux 12-18 Mois', 'Tomme Ail des Ours', 'St-Nectaire Fermier AOP', 'Bethmale']", Couleur Brune à grise, Noix et épices, Franc aux arômes boisés un peu amère au fil du temps, sèche
Tomme fermière d’Alpage céronnée,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme Fermière Montagne d’Auvergne s’accompagne d’un vin rouge léger et fruité.,"['Mimolette', 'Tomme de Yenne', 'Tomme de Tarentaise fermière', 'Reblochon Fermier AOP entier']", Croûte blanche-jaunâtre, goût fruité," Saveur de noisette et goût proche du St-Nectaire, avec une texture plus ferme", Pâte ferme
Tomme fermière de Montagne,Vache,Pressée non cuite,Bretagne ,"La tomme se déguste le plus couramment en fin de repas mais peut aussi faire partie du petit déjeuner. Suivant les goûts, on la choisira jeune ou mi affinées., Les vins de Loire, rouges ou blancs (plutôt tendre dans ce cas la), l’accompagnent harmonieusement mais un cidre fermier de Bretagne mettra toutes ses saveurs en avant.","['Saint-Félicien fermier', 'Tomme de Brebis des Pyrénées', 'Saint Marcellin fermier IGP', 'Tomme de Tarentaise fermière']","  Croûte semi épaisse à belle fleur grise ou blanche, coupe franche",  Légère odeur de foin., Saveur poivrée et lactée," Pâte mi-ferme, fine et homogène, pouvant présenter quelques aspérités"
Tomme fermière du pigeon blanc,Chèvre,Pressée non cuite,Auvergne_Rhône-Alpes ,La Tomme Fermière produite à Manigod s’accompagne d’un vin blanc tel qu’un Chignin de Savoie.,"['Tomme de Brebis des Pyrénées', 'Morbier AOP 100jours', 'Tomme de Yenne', 'Tomme Ail des Ours']", Croûte rustique, parfumée," Doux avec une pointe d’acidité jeune, devient un peu plus puissante et rustique après affinage", Pâte tendre
Tomme fermière Savoyarde,Vache,Pressée non cuite,Auvergne_Rhône-Alpes,"La Tomme fumée doit se déguster avec un Gamay rouge de Savoie, comme le Jongnieux.","['Raclette Fumée', 'Tome des Bauges AOP', 'Saint Marcellin fermier IGP', 'Raclette de Savoie artisanale IGP']", Croûte brune, Odeur de “fumée” assez prononcée," Notes subtilement acidulées, délicatement beurrées", tendre et moelleuse
Tomme fumée,Vache,Pressée non cuite,Nouvelle Aquitaine ,Accompagnez cette tomme d’un vin blanc doux ou moelleux du Sud-Ouest.,"['Morbier AOP 100jours', 'Gouda Fermier Vieux 12-18 Mois', 'Gouda au Cumin Fermier', 'Tête de Moine entière']", pâte claire, typé, corsé, pâte ferme
Tomme Kaïkou,Vache,Pressée non cuite,Nouvelle Aquitaine ,Le Mixte Chèvre-Brebis s’accompagne d’un vin blanc tel qu’un Viognier ou un Jurançon blanc.,"['Morbier AOP 100jours', 'Tomme Ail des Ours', 'Tome des Bauges AOP', 'Bouton de Culotte fermier']", croûte foncée et pâte jaune, subtil de chèvre, arômes de paille, pâte sèche et croûte ferme
Tomme mixte Chèvre-Brebis,Chèvre Brebis,Pressée non cuite,Nouvelle Aquitaine ,Associez la avec un Gaillac ou Cahors (rouges) ou un Chasselas de Savoie (blanc).,"['Raclette de Savoie artisanale IGP', 'Gouda au Cumin Fermier', 'Raclette Fumée', 'Bethmale']", Croûte naturelle de couleur hêtre clair, Léger, Saveur douce et fruitée, Pâte souple et lisse
Tomme mixte Vache-Brebis du Béarn,Vache Brebis,Pressée non cuite,Italie ,La Tomme Piémontaise s’accompagne d’un vin blanc sec (Chardonnay) ou vin rouge léger comme un Barbera del Monferrato. ,"['Tomme Ail des Ours', 'Gouda au Cumin Fermier', 'Cantal AOP Entre-Deux fermier', 'Salers AOP']", Pâte de couleur blanche à jaune avec de petits trous, Notes de beurre et de pain, Affiné en cave elle possède un goût harmonieux.," Pâte douce, mais ferme"
Tomme Piémontaise,Vache,Pressée non cuite,Auvergne_Rhône-Alpes,"Vin rouge léger, tel qu’un Côte de Tourgues de Thongue","['Tome des Bauges AOP', 'Mimolette', 'St-Nectaire Fermier AOP', 'Tomme Ail des Ours']",  fromage jeune,  Légère odeur de foin, doux et fruité. Note légèrement épicée, Pâte fondante
Tomme tradition au Poivre,Vache,Pressée non cuite,Pays de la Loire,Le Bleu de Brebis s’accompagne très bien d’un vin blanc tel qu’un Jurançon blanc aux vendanges tardives.,"['Fourme d’Ambert AOP', 'Bleu de Chèvre', 'Fourme de Montbrison AOP', 'Tomme de Brebis des Pyrénées']", Croûte orangée/marron avec une pâte ivoire persillée de moisissures bleues, Odeur prononcée," Fondant, goût doux et fin avec une saveur franche aux arômes de brebis mais sans amertume", onctueux
Tommette bleue de Brebis,Brebis,Persillée,Auvergne_Rhône-Alpes ,"La Tommette de Chèvre de Savoie s’accompagne d’un vin rouge tel qu’un Chignon, ou un Bergerac blanc.","['Tomme Ail des Ours', 'Calisson cendré de chèvre', 'Mimolette', 'St-Nectaire Fermier AOP']", croûte légèrement céronnée, Arôme typique de noix et d’épices, Gout franc avec un peu d’amertume, ferme
Tommette de Chèvre de Savoie,Chèvre,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tommette de Missilier s’accompagne d’un vin blanc vif et léger, à base de Jacquère comme un Chignin jeune.","['Camembert de Normandie AOP', 'Saint Marcellin fermier IGP', 'Raclette Fumée', 'Salers AOP']", croûte grise, Noix, Fruité mais légèrement acide et salé, Pâte tendre
Tommette de Missilier,Vache,Pressée non cuite,Auvergne_Rhône-Alpes ,"La Tommette de Missilier s’accompagne d’un vin blanc vif et léger, à base de Jacquère comme un Chignin jeune.","['Camembert de Normandie AOP', 'Saint Marcellin fermier IGP', 'Raclette Fumée', 'Salers AOP']", croûte grise, Noix, Fruité mais légèrement acide et salé, Pâte tendre
Tommette de Montagne,Vache,Pressée non cuite,Bourgogne - Franche-Comté,"La tomyère s’accompagne d’un vin blanc du Jura ou d’un vin rouge léger, par exemple de la Vallée de la Loire. ","['Beaufort chalet alpage AOP', 'Camembert de Normandie AOP', 'Bleu de Gex AOP', 'Brillat-Savarin IGP']", pâte jaune pâle, Doux," fondante en bouche, goût beurré et fruité, devenant boisé et grillé avec l’affinage", texture dense et pâte ferme
Tomyère,Vache,Pressée cuite,Nouvelle Aquitaine ,Le Tourret s’accompagne d’un Vin blanc sec tel qu’un Sancerre ou un Chinon blanc.,"['Bouton de Culotte fermier', 'Rocamadour AOP Fermier', 'Calisson cendré de chèvre', 'Sainte-Maure de Touraine AOP']"," Croûte cendré, coupe lisse", Odeur caprine, Gout frais de chèvre, Texture onctueuse
Tourret,Chèvre,Molle à croûte naturelle,,"Le Tricorne se déguste avec un vin blanc, tel qu’un Chinon blanc.","['Saint-Félicien fermier', 'Sainte-Maure de Touraine AOP', 'Buchette de Chèvre cendrée', 'Crottin de Chavignol AOP']", croûte naturellement légèrement crémeuse, Odeur de paille sur la croûte, lacté pour sa crème. Agréable en bouche, Texture fondante et crémeuse
Tricorne,Chèvre,Molle à croûte naturelle,Auvergne_Rhône-Alpes ,"Le Vacherin de la Tarentaise se savoure froid ou chaud. Il s’accompagne de vins blancs, tel qu’un Bergeron blanc de Savoie.","['Raclette Fumée', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'Beaufort chalet alpage AOP', 'Tête de Moine entière']", Croûte recouverte d’une mousse rosée, Arômes de résineux, Saveur de lait acidulé, Pâte onctueuse
Vacherin de la Tarentaise,Vache,Molle à croûte lavée,Auvergne_Rhône-Alpes,"Le Vacherin des Bauges se savoure froid ou chaud. Il s’accompagne de vins blancs, tel qu’un Bergeron blanc de Savoie.","['Tome des Bauges AOP', 'Saint Marcellin fermier IGP', 'Brillat-Savarin IGP', 'Munster fermier AOP 1/2']", Croûte recouverte d’une légère mousse blanche rosée., Arômes de résineux., Saveur de lait acidulé chaud., Pâte onctueuse
Vacherin des Bauges,Vache,Molle à croûte lavée,Suisse ,"Le Vacherin Fribourgeois se marie parfaitement aux vins de la région, comme un Fendant (Chasselas), du Valais ou Johannisberg (Sylvaner).","['St-Nectaire Fermier AOP', 'Raclette de Savoie artisanale IGP', 'Tomme d’Auvergne Mitée', 'Gouda Fermier Vieux 12-18 Mois']", croûte lisse, Odeur balsamique et de moisi," Intense, acidulé et résineux", Texture souple
Vacherin Fribourgeois,Vache,Pressée non cuite,Suisse ,"Le Vacherin Fribourgeois se marie parfaitement aux vins de la région, comme un Fendant (Chasselas), du Valais ou Johannisberg (Sylvaner).","['St-Nectaire Fermier AOP', 'Raclette de Savoie artisanale IGP', 'Tomme d’Auvergne Mitée', 'Gouda Fermier Vieux 12-18 Mois']", croûte lisse, Odeur balsamique et de moisi," Intense, acidulé et résineux", Texture souple
Vacherin Mont d’Or AOP,Vache,Molle à croûte lavée,Suisse ,"Le Vacherin Fribourgeois se marie parfaitement aux vins de la région, comme un Fendant (Chasselas), du Valais ou Johannisberg (Sylvaner).","['St-Nectaire Fermier AOP', 'Raclette de Savoie artisanale IGP', 'Tomme d’Auvergne Mitée', 'Gouda Fermier Vieux 12-18 Mois']", croûte lisse, Odeur balsamique et de moisi," Intense, acidulé et résineux", Texture souple
Vacherin Vaudois,Vache,Molle à croûte lavée,Suisse ,"Le vacherin vaudois se savoure froid, sur du pain, avec un vin blanc des Côtes du Jura ou un Crozes-Hermitages blancs.","['Bethmale', 'Vacherin – Mont d’Or AOP (Boite d’environ 500g)', 'Saint Marcellin fermier IGP', 'Pont l’Evêque AOP entier']"," pâte très crémeuse, contenant 2 couches de cendre végétale et une croûte orangée.", Parfum franc avec une note d’épicéa.," Gout boisé, subtil avec des notes minérales.", Pâte très moelleuse.
Valençay,Chèvre,Molle à croûte naturelle,Centre-Val de Loire ,"Le Valençay est un fromage qui saura apporter du volume au plateau de fromages par sa forme exceptionnelle. Il peut également se déguster en fin de repas ou en apéritif. Quoi qu’il en soit, il peut être découpé comme un fromage rond, mais en portions fines et allongées. Par ailleurs, on aime l’accompagner avec un vin de son terroir, le Valençay blanc, rosé ou rouge. Le Touraine blanc, rosé ou rouge serait également parfait pour l’accompagner.","['Mothais sur feuille fermier', 'Saint Marcellin fermier IGP', 'Chabichou du Poitou AOP', 'Selles-sur-cher AOP fermier']", Croûte Couleur gris bleuté., Odeur de sous-bois et de paille.," ferme et fondant en bouche avec un goût lactique, noiseté et caprin.", Pâte ferme et homogène.
Venise Verte,Vache,Molle à croûte lavée,Pays de la Loire,"La Venise Verte s’accompagne de vin blanc fruité, tel qu’un Pinot Gris d’Alsace ou un Sauvignon blanc.","['Maroilles fermier AOP 1/2', 'Bergues au torchon fermier', 'Raclette Fumée', 'Beaufort chalet alpage AOP']", croûte orangée, Odeur soutenue, Gout légèrement épicé, texture onctueuse
Vercorais,Vache,Pressée cuite,Auvergne_Rhône-Alpes ,Le formage Vercorais ? On le déguste finement avec un St Joseph ou un Pinot Noir du Domaine de Maupas.,"['Morbier AOP 100jours', 'Herve à la Bière', 'Parmesan DOP', 'Munster fermier AOP 1/2']", Pâte jaune pressée cuite.,, Léger goût de noisette et fruité. (Affiné minimum 6 mois en cave), Texture ferme et friable.
Vieux Lille,Vache,Molle à croûte lavée,Hauts-de-France ,"Le Vieux Lille se mange surtout en fin de repas., On l’accompagnera d’un vin rouge charpenté comme le Lalande−de−Pomerol ou, à la mode de la Thiérache, de bière ou de cidre du pays.","['Abondance AOP', 'Beaufort chalet alpage AOP', 'Tome des Bauges AOP', 'Raclette Fumée']"," Croûte orangé homogène, lisse et brillante",  Fort bouquet ; odeur franche et caractéristique," Saveur corsée, d’une force agréable et sans outrance", Pâte souple et onctueuse présentant un léger cœur
Villageois blanc,Chèvre,Molle à croûte naturelle,Nouvelle Aquitaine ,"La dégustation optimale d’un fromage se fait toujours avec un vin de qualité ! Afin de ressortir toute la saveur et le goût lactique de votre Villageois blanc, il vous faudra vous procurer le vin en parfait accord avec ce dernier. Vous pouvez opter pour le <span data-sheets-userformat='{""2"":14845,""3"":{""1"":0,""3"":1},""5"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""6"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""7"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""8"":{""1"":{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}},""9"":1,""10"":1,""11"":4,""14"":{""1"":2,""2"":0},""15"":""Calibri"",""16"":12}' data-sheets-value='{""1"":2,""2"":""Valençay blanc""}'>Valençay blanc, un vin blanc aux arômes fruités qui se marie parfaitement avec les saveurs du Villageois blanc.</span>","['Pouligny-Saint-Pierre AOP fermier', 'Chabichou du Poitou AOP', 'Saint-Félicien fermier', 'Buchette de Chèvre cendrée']", Pâte molle à croûte naturelle.,," Flore naturelle ondulée et fondante, goût lactique prononcé.",
Vully rouge Suisse,Vache,Pressée cuite,Suisse,"Le Vully Rouge se consomme sans pain, en fine lamelle, et se marie très bien avec un verre de vin blanc sec ou une coupe de Champagne.","['Raclette Fumée', 'Bleu d’Auvergne Fermier AOP', 'Bethmale', 'Reblochon Fermier AOP entier']", Pâte reconnaissable à sa couleur ivoire tirant sur le jaune pâle., Noiseté," Saveur délicate, franche et légèrement épicée.", La pâte mi-dure est de texture moelleuse et tendre.
